INVOICENUMBER,PAYABLEAT,STATUS,CURRENCY,NETAMOUNT,TAXRATE,TOTALAMOUNT,ORIGININVOICE,REVERSALFALG,INVOICETYPE,INVOICESUBTYPE,INVOICEDOMIN,DIRECTION,GROUPINVOICENUMBER,CHINATAXINVOICENUMBER,PAYEEDEPARTMENTCODE,BRANDCODE,CARRIER,PAYABLEAT_1,PAYABLETO,PAYABLETONAME,PAYERPARTNERCODE,PAYERPARTNERSHORTNAME,PAYERPARTNERFULLNAME,PAYERPARTNERWEBUSER,EMAILADDRESSES,INVOICEDATE,INVOICEDUEDATE,INVOICEDOMIN_1,BOOKINGNUMBER,BLNUMBER,POLCODE,POLNAME,PODCODE,PODNAME,DATEOFCALL,VOYAGEREFERENCE,VESSELREFERENCE,EXCHAGERATE,INVOICEMENTIONS,ADJUSTMENTFLAG,DEPOSITFLAG,INVOICESOURCE,PAYMENTSTATUS,PAYMENTBY,PAYMENTDATE,PAYMENTMANUAL,PAYMENTREMARK,LOCKBYDUMMYCANCEL,ISREB70,NEWINVOICEREQUIRED,NEWINVOICENUMBER,REERVATIONFROMWEB,ADDITIONALREMARK,ISNCCONLY,BANKACCOUNTNAME,INSIHCHGGROUP,CUPTESETTLEMETHOD,PRINCIPALPARTNERCODE,DELETEFLAG,CREATEUSER,CREATEDATETIME,UPDATEUSER,UPDATEDATETIME,CANCELLOCKEDTIME
GZDES004657,CNCAN - GUANGZHOU - CHINA,6,CNY,1290,,1290,GZDES004657,,I,E,SHIP,E,,,906,ANLS,,CNCAN - GUANGZHOU - CHINA,0001828893,CMA CGM GUANGZHOU,0000795509,MONDIALE VGL SHANGHAI LIMITED,MONDIALE VGL SHANGHAI LIMITED,,,10/14/2023,10/14/2023,CNGTE,AAV0133849,AAV0133849,CNZSN,ZHONGSHAN,CNZSN,ZHONGSHAN,10/12/2023,0OK3INANL,ZH937-ZHONG HANG 937,,,,N,,0,,,,,0,0,,,,,,,,A,0000938455,0,ELCAI,10/14/2023 10:00 AM,ELCAI,10/14/2023 10:00 AM,
GZDES004658,CNCAN - GUANGZHOU - CHINA,6,CNY,1290,,1290,GZDES004658,,I,E,SHIP,E,,,906,ANLS,,CNCAN - GUANGZHOU - CHINA,0001828893,CMA CGM GUANGZHOU,0000795509,MONDIALE VGL SHANGHAI LIMITED,MONDIALE VGL SHANGHAI LIMITED,,,10/14/2023,10/14/2023,CNGTE,AAV0134037,AAV0134037,CNSUD,SHUNDE,CNSUD,SHUNDE,10/12/2023,ZXJ3INANL,HNB19-HUAN BAO 19,,,,N,,0,,,,,0,0,,,,,,,,A,0000938455,0,ELCAI,10/14/2023 10:01 AM,ELCAI,10/14/2023 10:01 AM,
